question_text;option_1;option_2;option_3;option_4;correct_answer;language;link_id;subject;topic;bloom_level
Mihez járul hozzá a hörgõfal-ödéma asztmában?;A légáramlás dinamikus kompressziója;Ventilációs statikus restrikció;Perfúziós vaszkuláris söntölés;Diffúziós membrán megvastagodása;A légáramlás dinamikus kompressziója;hu;RESP_118;Respiratory Physiology;Légzés (Bloom 1);1
Tobacco smoke induces apoptosis in what lung cells?;Alveolar pneumocytes type;Bronchial goblet cells;Vascular endothelial cells;Interstitial fibroblast cells;Alveolar pneumocytes type;en;RESP_119;Respiratory Physiology;Légzés (Bloom 1);1
Mely tüdõsejtekben indukál apoptosis-t a dohányfüst?;Alveoláris pneumocyták (típus egységek);Bronchiális kehelysejtek;Vaszkuláris endothelsejtek;Interstitialis fibroblasztok;Alveoláris pneumocyták (típus egységek);hu;RESP_119;Respiratory Physiology;Légzés (Bloom 1);1
Allergen exposure increases eosinophil what in airways?;Number and activity;Size and density;Migration and apoptosis;Degranulation and death;Number and activity;en;RESP_120;Respiratory Physiology;Légzés (Bloom 1);1
Mit fokoz az allergénterhelés az eozinofiloknál a légutakban?;Számuk és aktivitásuk;Méretük és denzitásuk;Migrációjuk és apoptosisuk;Degranulációjuk és haláluk;Számuk és aktivitásuk;hu;RESP_120;Respiratory Physiology;Légzés (Bloom 1);1
Dust mites labeled as what asthma trigger?;Indoor perennial allergen;Outdoor seasonal allergen;Food ingested allergen;Drug induced allergen;Indoor perennial allergen;en;RESP_121;Respiratory Physiology;Légzés (Bloom 1);1
Milyen típusú asztma-triggerként ismertek a poratkák?;Beltéri, egész évben jelen lévõ (perenniális) allergén;Kültéri szezonális allergén;Ételallergén;Gyógyszer okozta allergén;Beltéri, egész évben jelen lévõ (perenniális) allergén;hu;RESP_121;Respiratory Physiology;Légzés (Bloom 1);1
IgE production stimulated by what T cell cytokine?;IL4 and IL13;IL5 and IL9;TNF alpha gamma;IFN gamma beta;IL4 and IL13;en;RESP_122;Respiratory Physiology;Légzés (Bloom 1);1
Melyik T-sejt citokin serkenti az IgE termelését?;IL-4 és IL-13;IL-5 és IL-9;TNF-alfa és gamma;IFN-gamma és béta;IL-4 és IL-13;hu;RESP_122;Respiratory Physiology;Légzés (Bloom 1);1
Mast cell degranulation releases what mediator?;Tryptase histamine;Prostaglandin leukotriene;Cytokine chemokine;Protease neutralase;Tryptase histamine;en;RESP_123;Respiratory Physiology;Légzés (Bloom 1);1
Milyen mediátort szabadít fel a hízósejtek degranulációja?;Triptáz és hisztamin;Prosztaglandin és leukotrién;Citokin és kemokin;Proteáz és neutraláz;Triptáz és hisztamin;hu;RESP_123;Respiratory Physiology;Légzés (Bloom 1);1
Airway smooth muscle in asthma shows what change?;Hyperplasia hypertrophy;Atrophy hypoplasia;Normal stable size;Reduced total mass;Hyperplasia hypertrophy;en;RESP_124;Respiratory Physiology;Légzés (Bloom 1);1
Milyen elváltozást mutat a légúti simaizom asztmában?;Hyperplasia és hypertrophia (túltengés);Atrophia és hypoplasia;Normál szintek;Csökkent össztömeg;Hyperplasia és hypertrophia (túltengés);hu;RESP_124;Respiratory Physiology;Légzés (Bloom 1);1
Bronchial hyperresponsiveness increased to what stimuli?;Methacholine histamine;Saline distilled water;Helium normal air;Oxygen enriched air;Methacholine histamine;en;RESP_125;Respiratory Physiology;Légzés (Bloom 1);1
Milyen ingerekre fokozódik a bronchiális hiperreaktivitás?;Metacholin és hisztamin;Sósav és desztillált víz;Hélium és normál levegõ;Oxigénnel dúsított levegõ;Metacholin és hisztamin;hu;RESP_125;Respiratory Physiology;Légzés (Bloom 1);1
Loss of epithelial integrity leads to what exposure?;Subepithelial nerve exposure;Basement membrane exposure;Smooth muscle exposure;Vascular plexus exposure;Subepithelial nerve exposure;en;RESP_126;Respiratory Physiology;Légzés (Bloom 1);1
Mire vezet az epithel integritásának elvesztése?;Szubepitheliális idegvégzõdések szabaddá válása;Bazális membrán expozíció;Simaizom expozíció;Vaszkuláris plexus expozíció;Szubepitheliális idegvégzõdések szabaddá válása;hu;RESP_126;Respiratory Physiology;Légzés (Bloom 1);1
Small airway remodeling in asthma includes what?;Smooth muscle hypertrophy;Epithelial cell atrophy;Goblet cell reduction;Ciliated cell increase;Smooth muscle hypertrophy;en;RESP_127;Respiratory Physiology;Légzés (Bloom 1);1
Mit foglal magában a kis légutak remodelingje asztmában?;Simaizom-hypertrophia;Epithelsejt-atrophia;Kehelysejtek számának csökkenése;Csillóssejtek növekedése;Simaizom-hypertrophia;hu;RESP_127;Respiratory Physiology;Légzés (Bloom 1);1
Th2 lymphocyte response key in what asthma type?;Allergic eosinophilic asthma;Nonallergic neutrophilic asthma;Aspirin exacerbated asthma;Occupational irritant asthma;Allergic eosinophilic asthma;en;RESP_128;Respiratory Physiology;Légzés (Bloom 1);1
Melyik asztmatípus kulcspontja a Th2 limfocita válasz?;Allergiás eozinofil asztma;Nem allergiás neutrofil asztma;Aszpirin-indukált asztma;Foglalkozási irritatív asztma;Allergiás eozinofil asztma;hu;RESP_128;Respiratory Physiology;Légzés (Bloom 1);1
Airway microvascular leakage causes what mucosal change?;Edema mucus hypersecretion;Dryness gland atrophy;Thickening membrane repair;Thinning barrier loss;Edema mucus hypersecretion;en;RESP_129;Respiratory Physiology;Légzés (Bloom 1);1
Milyen nyálkahártya-elváltozást okoz a légúti microvaszkuláris szivárgás?;Ödéma és nyák-hypersecrectio;Szárazság és mirigy-atrophia;Vastagodás és membrán-repair;Vékonyodás és barrier-vesztés;Ödéma és nyák-hypersecrectio;hu;RESP_129;Respiratory Physiology;Légzés (Bloom 1);1
Cystic fibrosis transmembrane conductance regulator abbreviated?;CFTR chloride channel;CFTR sodium channel;CFTR potassium channel;CFTR calcium channel;CFTR chloride channel;en;RESP_130;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan rövidítjük a cisztás fibrózis transzmembrán konduktancia regulátorát?;CFTR kloridcsatorna;CFTR nátriumcsatorna;CFTR káliumcsatorna;CFTR kalciumcsatorna;CFTR kloridcsatorna;hu;RESP_130;Respiratory Physiology;Légzés (Bloom 1);1
CFTR dysfunction leads to what airway surface?;Dehydrated sticky mucus;Hydrated loose mucus;Normal watery mucus;Absent total mucus;Dehydrated sticky mucus;en;RESP_131;Respiratory Physiology;Légzés (Bloom 1);1
Hova vezet a CFTR diszfunkciója a légutak felszínén?;Dehidratált, tapadós nyák;Hidratált, laza nyák;Normál, vizes nyák;Hiányzó nyák;Dehidratált, tapadós nyák;hu;RESP_131;Respiratory Physiology;Légzés (Bloom 1);1
Primary ciliary dyskinesia impairs what mucociliary function?;Ciliary beat coordination;Mucus gland secretion;Epithelial cell renewal;Vascular permeability;Ciliary beat coordination;en;RESP_132;Respiratory Physiology;Légzés (Bloom 1);1
Melyik mucociliáris funkciót károsítja a primer ciliáris dyskinesia?;Csillóverés koordinációja;Nyálkamirigyszekréció;Epithelsejt-megújulás;Vaszkuláris permeabilitás;Csillóverés koordinációja;hu;RESP_132;Respiratory Physiology;Légzés (Bloom 1);1
Cystic fibrosis sweat chloride level diagnostic threshold?;Greater than 60 mmol;Less than 40 mmol;Exactly 50 mmol;Variable daily range;Greater than 60 mmol;en;RESP_133;Respiratory Physiology;Légzés (Bloom 1);1
Mi a cisztás fibrózis diagnosztikai küszöbértéke a verejték-klorid szintnél?;Nagyobb mint 60 mmol/L;Kisebb mint 40 mmol/L;Pontosan 50 mmol/L;Változó napi tartomány;Nagyobb mint 60 mmol/L;hu;RESP_133;Respiratory Physiology;Légzés (Bloom 1);1
Diseases grouped as parenchymal airway disorders?;Emphysema chronic bronchitis;Pneumonia pulmonary edema;Pleural effusion pneumothorax;Vascular embolism infarction;Emphysema chronic bronchitis;en;RESP_134;Respiratory Physiology;Légzés (Bloom 1);1
Mely betegségek tartoznak a parenchymás légúti zavarok közé?;Emphysema és krónikus bronchitis;Pneumonia és tüdõödéma;Pleurális effúzió és légmell;Érembólia és infarktus;Emphysema és krónikus bronchitis;hu;RESP_134;Respiratory Physiology;Légzés (Bloom 1);1
Inflammation in asthmatic bronchi characterized by?;Eosinophilic granulocyte influx;Neutrophilic granulocyte influx;Lymphocytic granulocyte influx;Monocytic granulocyte influx;Eosinophilic granulocyte influx;en;RESP_135;Respiratory Physiology;Légzés (Bloom 1);1
Mi jellemzi az asztmás hörgõk gyulladását?;Eozinofil granulocita beáramlás;Neutrofil granulocita beáramlás;Limfocita beáramlás;Monocita beáramlás;Eozinofil granulocita beáramlás;hu;RESP_135;Respiratory Physiology;Légzés (Bloom 1);1
Worst prognosis for survival in which condition?;Severe chronic bronchitis;Mild intermittent asthma;Stable restrictive fibrosis;Acute reversible bronchospasm;Severe chronic bronchitis;en;RESP_136;Respiratory Physiology;Légzés (Bloom 1);1
Melyik állapotban a legrosszabb a túlélési prognózis?;Súlyos krónikus bronchitis;Enyhe intermittáló asztma;Stabil restriktív fibrózis;Akut reverzibilis hörgõgörcs;Súlyos krónikus bronchitis;hu;RESP_136;Respiratory Physiology;Légzés (Bloom 1);1
GOLD used for what clinical disease staging?;Global COPD assessment;General obstruction lung disease;Global obstruction lung deficit;General obstructive lung damage;Global COPD assessment;en;RESP_137;Respiratory Physiology;Légzés (Bloom 1);1
Mire használják a GOLD kritériumokat a klinikumban?;Globális COPD stádiummeghatározás;Általános légúti szûkület mérése;Globális obstrukciós deficit;Általános tüdõkárosodás mérése;Globális COPD stádiummeghatározás;hu;RESP_137;Respiratory Physiology;Légzés (Bloom 1);1
Dyspnea defined as what respiratory symptom?;Subjective breathing discomfort;Objective breathing rate increase;Measured ventilation effort;Quantified gas exchange failure;Subjective breathing discomfort;en;RESP_138;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a dyspnoét (nehézlégzést)?;Szubjektív légzési diszkomfort;Objektív légzészám-növekedés;Mért ventilációs erõfeszítés;Kvantifikált gázcsere-elégtelenség;Szubjektív légzési diszkomfort;hu;RESP_138;Respiratory Physiology;Légzés (Bloom 1);1
Dyspnea causes include disorders of what systems?;Respiratory cardiovascular neuromuscular;Renal hepatic endocrine metabolic;Gastrointestinal musculoskeletal integumentary;Nervous hematologic lymphatic immune;Respiratory cardiovascular neuromuscular;en;RESP_139;Respiratory Physiology;Légzés (Bloom 1);1
Milyen rendszerek zavarai okozhatnak dyspnoét?;Respiratorikus, kardiovaszkuláris és neuromuszkuláris;Renális, hepatikus és endokrin;Gastrointestinalis és mozgásszervi;Idegi és hematológiai;Respiratorikus, kardiovaszkuláris és neuromuszkuláris;hu;RESP_139;Respiratory Physiology;Légzés (Bloom 1);1
Alveolar hypoventilation fails to maintain what gas?;Normal PACO2 level;Normal PAO2 level;Normal PAN2 level;Normal PAH2O level;Normal PACO2 level;en;RESP_140;Respiratory Physiology;Légzés (Bloom 1);1
Mit nem tud fenntartani az alveoláris hypoventiláció?;Normál PACO2 szint;Normál PAO2 szint;Normál PAN2 szint;Normál PAH2O szint;Normál PACO2 szint;hu;RESP_140;Respiratory Physiology;Légzés (Bloom 1);1
Ventilation perfusion mismatching causes what imbalance?;Regional blood flow mismatch;Global cardiac output mismatch;Systemic arterial pressure mismatch;Pulmonary vascular resistance mismatch;Regional blood flow mismatch;en;RESP_141;Respiratory Physiology;Légzés (Bloom 1);1
Milyen egyensúlyzavart okoz a ventiláció-perfúzió mismatch?;Regionális véráramlási aránytalanság;Globális perctérfogat aránytalanság;Szisztémás artériás nyomás eltérés;Tüdõ érrendszeri ellenállás eltérés;Regionális véráramlási aránytalanság;hu;RESP_141;Respiratory Physiology;Légzés (Bloom 1);1
Obligatory nose breathing impaired leads to what?;Altered inspired gas conditioning;Increased tidal volume capacity;Decreased respiratory muscle fatigue;Improved mucociliary clearance;Altered inspired gas conditioning;en;RESP_142;Respiratory Physiology;Légzés (Bloom 1);1
Mire vezet a kényszerû orrlégzés akadályozottsága?;A belélegzett gáz kondicionálásának megváltozása;Megnövekedett légzési volumen;Csökkent légzõizom-fáradtság;Javult mucociliáris clearance;A belélegzett gáz kondicionálásának megváltozása;hu;RESP_142;Respiratory Physiology;Légzés (Bloom 1);1
Dyspnea scale modification useful when?;Patients added oxygen therapy;Patients reduced exercise load;Patients stable vital signs;Patients normal gas exchange;Patients added oxygen therapy;en;RESP_143;Respiratory Physiology;Légzés (Bloom 1);1
Mikor hasznos a nehézlégzés-skála módosítása?;Oxigénterápia bevezetésekor;Fizikai terhelés csökkentésekor;Stabil életjelek esetén;Normál gázcsere esetén;Oxigénterápia bevezetésekor;hu;RESP_143;Respiratory Physiology;Légzés (Bloom 1);1
Section 3.3 discusses what breathing pattern?;Rapid shallow breathing;Slow deep breathing;Normal tidal breathing;Periodic Cheyne breathing;Rapid shallow breathing;en;RESP_144;Respiratory Physiology;Légzés (Bloom 1);1
Melyik légzési mintázatot tárgyalja a 3.3-as fejezet?;Gyors, felületes légzés (szapora légvétel);Lassú, mély légzés;Normál nyugalmi légzés;Periodikus Cheyne-légzés;Gyors, felületes légzés (szapora légvétel);hu;RESP_144;Respiratory Physiology;Légzés (Bloom 1);1
